provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
Atacado por,,preyedUponBy,http://purl.obolibrary.org/obo/RO_0002458
Atacó a,,preysOn,http://purl.obolibrary.org/obo/RO_0002439
